Facility Name,Full Address,Parish,Subprogram Code
ABC Children's Learning Academy,"1805 Dallas Dr 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
ABC Children's Learning Academy #2,"1804 Dallas Drive 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
ABC Daycare & Learning Center Inc.,"2110 North University Avenue 
Lafayette, LA 70507",Lafayette,Early Learning Center II
ABC Early Childhood Learning and Development Center,"3343 Lukeville Lane 
Brusly, LA 70719",West Baton Rouge,Early Learning Center III
ABC Head Start Center,"1042 Pearl Street 
Homer, LA 71040",Claiborne,Early Learning Center III
ABC Learning Center,"2535 Barbara St 
Bossier City, LA 71112",Bossier,Early Learning Center III
ABC Nursery,"1302 Lafayette Street 
Houma, LA 70360",Terrebonne,Early Learning Center I
Abeona Child Discovery Center,"3401 Canal Street 
New Orleans, LA 70119",Orleans,Early Learning Center III
Abita Springs Children's Academie,"22400 Level Street 
Abita Springs, LA 70420",St. Tammany,Early Learning Center I
Abundant Blessings Early Learning Center,"14826 Hooper Road 
Baton Rouge, LA 70818",East Baton Rouge,Early Learning Center III
"Abundantly Blessed Aftercare Center, Inc","3432 Ewing Drive 
New Roads, LA 70760",Pointe Coupee,Early Learning Center III
"Abundantly Blessed Childcare Center, Inc","1017 West End Drive 
New Roads, LA 70760",Pointe Coupee,Early Learning Center III
Academy 1 Preschool,"555 Holmes Boulevard 
Gretna , LA 70056",Jefferson,Early Learning Center III
ACADEMY A-WARD DAYCARE,"1733 FRANKLIN STREET 
GRETNA, LA 70053",Jefferson,Early Learning Center II
Academy of the Sacred Heart Little Heart,"4301 St. Charles Avenue 
New Orleans, LA 70115",Orleans,Early Learning Center I
ACDS Humpty Dumpty Head Start,"562 Main St 
Moreauville, LA 71355",Avoyelles,Early Learning Center III
ACDS Inc Brook's Child Development,"134 Mary Ann Bradley 
Bunkie, LA 71322",Avoyelles,Early Learning Center III
ACDS INC CINDERELLA HEAD START,"492 SCALLAN ST 
MARKSVILLE, LA 71355",Avoyelles,Early Learning Center III
ACDS INC JACK AND JILL HEAD START,"433 ST JOHN ST 
COTTONPORT, LA 71327",Avoyelles,Early Learning Center III
ACDS INC LITTLE BO PEEP HEAD START,"2748 HWY 107 
CENTERPOINT, LA 71323",Avoyelles,Early Learning Center III
ACDS INC MOTHER GOOSE HEAD START,"2780 MAIN ST 
HESSMER, LA 71341",Avoyelles,Early Learning Center III
ACDS INC MOTHER HUBBARD HEAD START,"16008 HWY 1 
SIMMESPORT, LA 71369",Avoyelles,Early Learning Center III
ACDS INC NEW BEGINNINGS HEAD START,"1856 PREVOT ST 
MANSURA, LA 71350",Avoyelles,Early Learning Center III
Achievable Dreams Academy,"2405 Broadway Avenue 
Alexandria, LA 71302",Rapides,Early Learning Center III
ACS Children's  House,"428 Broadway Street 
New Orleans, LA 70118",Orleans,Early Learning Center III
ACS Children's House Gentilly,"4720 Painters Street 
New Orelans, LA 70122",Orleans,Early Learning Center III
ACS Montessori School,"20440-A Highland Road 
Baton Rouge, LA 70817",East Baton Rouge,Early Learning Center II
Adventure Awaits Learning Academy,"3172 Hwy. 316 
Gray, LA 70359",Lafourche,Early Learning Center III
Adventure Camp,"619 Henning Drive 
Sulphur, LA 70663",Calcasieu,Early Learning Center III
ADVENTURELAND KIDS II,"39302 Highway 74 
Gonzales, LA 70737",Ascension,Early Learning Center II
Adventureland Kids III,"39629 Tommy Moore Road 
Gonzales, LA 70737",Ascension,Early Learning Center I
After The Bell,"250 Barringer Dr. 
Ponchatoula, LA 70454",Tangipahoa,Early Learning Center II
Agape Angels Academy Child Development,"72 West Bank Expressway 
Gretna, LA 70053",Jefferson,Early Learning Center III
Agape Child Care Learning Center,"1304 Marshall Richardson 
Bogalusa, LA 70427",Washington,Early Learning Center III
Aim Kidz 1,"15084 Airline Hwy 
Prairieville, LA 70769",Ascension,Early Learning Center I
Alaya's Early Learning Center,"200 Reed Street 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Albany Early Learning Center,"30220 Hwy 43 North 
Albany, LA 70711",Livingston,Early Learning Center I
Alexandria Day Care,"2321 Rapides Avenue 
Alexandria, LA 71301",Rapides,Early Learning Center III
"Alicia's Kiddie Station, LLC","1827 Beaumont Drive 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
All About Kids,"700 Reigel Street 
Lake Charles, LA 70607",Calcasieu,Early Learning Center III
All About Kids,"4075 Hwy 80 East 
Haughton, LA 71037",Bossier,Early Learning Center III
All About Me Learning Center,"2508 Common Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
"All God's Children, Inc.","23068 Hwy 16 
Denham Springs, LA 70726",Livingston,Early Learning Center I
Allen Action Agency Inc Kinder Center,"1409 Carver Street 
Kinder, LA 70648",Allen,Early Learning Center III
Allen Action Agency Inc Oakdale Center,"820 Hwy 372 
Oakdale, LA 71463",Allen,Early Learning Center III
Allen Action Agency Oberlin Head Start,"116 N First Street 
Oberlin, LA 70655",Allen,Early Learning Center III
Alpha Montessori School,"301 Canal Street 
Metairie, LA 70005",Jefferson,Early Learning Center I
"Alphonse Jackson, Jr. Early Head Start Center","2600 Martin Luther King 
Shreveport, LA 71107",Caddo,Early Learning Center III
Amana Christian Fellowship Preschool,"310 Milton Road 
Maurice, LA 70555",Vermilion,Early Learning Center I
Amani's World Early Childhood Education Center,"1198 N. Ardenwood Dr. 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
American Child Greenwood,"7061 Greenwood Springridge Rd. 
Greenwood, LA 71033",Caddo,Early Learning Center III
American Child Preschool and Child Care,"426 E. Washington 
Shreveport, LA 71104",Caddo,Early Learning Center III
Amigo Ames Preschool and Daycare,"2708 Amigo Avenue 
Marrero, LA 70072",Jefferson,Early Learning Center I
Amite Baptist Preschool and Daycare,"7100 Amite Church Road 
Denham Springs, LA 70706",Livingston,Early Learning Center I
Amite Early Head Start,"306 S. Myrtle Street 
Amite, LA 70422",Tangipahoa,Early Learning Center III
An Angel's Flight Child Care & Preschool,"2212 Athania Pkwy 
Metairie, LA 70001",Jefferson,Early Learning Center I
Angel Babies Childcare and Development Center,"320 East Miller Ave 
Iowa, LA 70647",Calcasieu,Early Learning Center III
Angel Care Learning Center,"4223 Elysian Fields Avenue 
New Orleans, LA 70122",Orleans,Early Learning Center III
"Angels Among Angels, Inc.","103 Craig Street 
New Iberia, LA 70560",Iberia,Early Learning Center III
Angels Among Us Daycare LLC,"112 Lakewood Drive 
Luling, LA 70070",St. Charles,Early Learning Center II
Angels by Angels Christian Early Learnin,"5212 Glen Oaks 
Baton Rouge, LA 70811",East Baton Rouge,Early Learning Center III
Angels Haven Daycare and Preschool,"8819 S. Claiborne Avenue 
New Orleans, LA 70118",Orleans,Early Learning Center III
Angels Playland LLC,"16026 Airline Highway 
Paraireville, LA 70769",Ascension,Early Learning Center I
Angels Unlimited,"8063 Olivia Drive 
Denham Springs, LA 70706",Livingston,Early Learning Center II
Angels Unlimited 2,"8040 Olivia Drive 
Denham Springs, LA 70706",Livingston,Early Learning Center II
Animal Crackers Learning Center,"15025 Jefferson Hwy 
Baton Rouge, LA 70817",East Baton Rouge,Early Learning Center III
AP CHURCH POINT HEAD START CENTER,"693 NORTH MAIN STREET 
CHURCH POINT, LA 70525",Acadia,Early Learning Center III
AP RAYNE HEAD START CENTER,"600 WEST JEFF DAVIS STREET 
RAYNE, LA 70578",Acadia,Early Learning Center III
AP ROSS HEAD START CENTER,"800 NORTH WESTERN AVENUE 
CROWLEY, LA 70526",Acadia,Early Learning Center III
AP- Estherwood Head Start Center,"214 Jefferson Avenue 
Estherwood, LA 70534",Acadia,Early Learning Center III
Apple Tree Academy,"2001 Athania Pkwy 
Metairie , LA 70001",Jefferson,Early Learning Center III
Apple Tree Preschool,"360 Robert Boulevard 
Slidell, LA 70458",St. Tammany,Early Learning Center I
"AppleTREE Academy, INC.","72125 Military Rd 
Covington, LA 70435",St. Tammany,Early Learning Center III
Appletree Daycare LLC,"41133 Highway 933 
Prairieville, LA 70769",Ascension,Early Learning Center I
"Appletree Kids, Inc.","919 Henning Drive 
Sulphur, LA 70663",Calcasieu,Early Learning Center III
Archies ABC Learning Center,"518 Madeline Street 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Arden Cahill Academy,"3101 Wall Boulevard 
Gretna, LA 70056",Jefferson,Early Learning Center I
Asbury Ark Academy,"3200 Airline Drive 
Bossier City, LA 71111",Bossier,Early Learning Center I
Ascension Christian Early Learning Center,"10473 Airline Hwy 
Gonzales, LA 70737",Ascension,Early Learning Center I
Ascension Head Start Site #1,"603 Lee Avenue 
Donaldsonville, LA 70346",Ascension,Early Learning Center III
Ascension of Our Lord Pre School,"1809 Greenwood Drive 
La Place, LA 70068",St. John,Early Learning Center I
Assembly Preschool and Kindergarten,"1201 S 9th Street 
Leesville, LA 71446",Vernon,Early Learning Center II
Audubon Primary Academy,"1501 Religious Street 
New Orleans, LA 70130",Orleans,Early Learning Center II
Audubon Primary Preschool,"7818 Earhart Boulevard 
New Orleans, LA 70125",Orleans,Early Learning Center II
Auntie B Learning Academy,"8001 Lafourche Street 
New Orleans, LA 70127",Orleans,Early Learning Center III
Babineaux's Kiddie Kare,"211-A Alfred Street 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Baby Baby Baby,"943A East McNeese Street 
Lake Charles, La 70607",Calcasieu,Early Learning Center III
Baby Bear Head Start Center,"710 Greenwood Street 
Morgan City, LA 70380",St. Mary,Early Learning Center III
Baby World,"4700 Common Street,  Suite B 
Lake Charles, LA 70607",Calcasieu,Early Learning Center III
Baby Your Baby Childcare,"2724 S. Hodgeson Ave. 
Gonzales, LA 70737",Ascension,Early Learning Center II
Baby's Kiddie Land Day Care,"126 South Hazel Street 
Sulphur, LA 70663",Calcasieu,Early Learning Center I
"Baby's Playhouse, LLC","114 Transcontinental Drive 
Metairie, LA 70001",Jefferson,Early Learning Center III
Balistine Williams Hopkins Head Start,"1730 Cox Street 
Shreveport, LA 71108",Caddo,Early Learning Center III
Balloons & Lollypops,"209 Sierra Court 
Metairie, LA 70001",Jefferson,Early Learning Center II
Bambi's Kids Academy,"1201 West 22nd Avenue 
Covington, LA 70433",St. Tammany,Early Learning Center III
Barbara's Childcare Center,"5568 Highway 126 West 
Grayson, LA 71435",Caldwell,Early Learning Center I
Barbara's Daycare,"912 Walton Street 
New Iberia, LA 70560",Iberia,Early Learning Center I
Bargas Day Care Center dba La'Petite Daycare Center,"44077 Stringer Bridge Road 
St. Amant, LA 70774",Ascension,Early Learning Center I
Barney & Baby Bop,"520 Martin Luther King Avenue 
Patterson, LA 70392",St. Mary,Early Learning Center III
Baton Rouge Christian Academy,"2432 Monroe Avenue 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
Baton Rouge International School,"5015 Autoplex Drive 
Baton Rouge, LA 70809",East Baton Rouge,Early Learning Center II
Bayou Blue Head Start,"197 Mazerac Street 
Houma, LA 70360",Lafourche,Early Learning Center III
Bayou Chateau Child Development Center,"16214 Highway 1 
Simmesport, LA 71369",Avoyelles,Early Learning Center III
"Bayou Gymnastics, Inc","902 Finks Hideaway Rd 
Monroe, LA 71203",Ouachita,Early Learning Center I
Bayou L'Ourse Head Start,"1397 Highway 662 
Morgan City, LA 70380",Assumption,Early Learning Center III
"Beary Cherry Tree of Jeff, Inc.","3117 Lake Villa Drive 
Metairie, LA 70002",Jefferson,Early Learning Center III
BeauCare Head Start,"308 Martin Luther King Drive 
DeRidder, LA 70634",Beauregard,Early Learning Center III
Because Wee Care Learning Academy,"3121 Louisiana Avenue Parkway 
New Orleans, LA 70125",Orleans,Early Learning Center III
Bedrock Academy,"3224 Barksdale Boulevard 
Bossier City, LA 71112",Bossier,Early Learning Center I
Bee Haven Childcare and Learning Center,"1801 Corbello Road 
Lake Charles, LA 70615",Calcasieu,Early Learning Center III
Beech Street Head Start,"1227 Rev. E.D. Alfred Street 
Ville Platte, LA 70586",Evangeline,Early Learning Center III
Beechgrove Head Start Birth to Five,"721 Tricia Court 
Westwego, LA 70094",Jefferson,Early Learning Center III
Beginner's Education Academy,"5427 Crowder Boulevard 
New Orleans , LA 70127",Orleans,Early Learning Center II
Beginnings of St. Amant Daycare and Learning Center,"44055 Stringer Bridge Road 
St. Amant, LA 70774",Ascension,Early Learning Center I
Bellaire Learning Center Main,"1210 Bellaire Boulevard 
Bossier City, LA 71112",Bossier,Early Learning Center III
Bellaire Learning Center South,"4330 Panther Drive 
Bossier City, LA 71112",Bossier,Early Learning Center III
Belle Chasse Academy Pre-Kindergarten,"100 Fifth Street 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center III
Belle Chasse Baptist Kindergarten,"8828 Hwy 23 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center I
Belle Chasse Primary School Head Start,"539 F. Edward Hebert Blvd 
Belle Chasse , LA 70037",Plaquemines,Early Learning Center III
Belle Rose Head Start,"7100 Highway 308 
Belle Rose, LA 70341",Assumption,Early Learning Center III
Benjamin Thomas Academy,"2010 Peniston Street, Suite 200 
New Orleans, LA 70115",Orleans,Early Learning Center II
Benjamin's Infant and Preschool Center,"1124 Garfield Street 
Westlake, LA 70669",Calcasieu,Early Learning Center III
Benton Head Start Center,"224 Pine Street 
Benton, LA 71006",Bossier,Early Learning Center III
Benton Preschool and Childcare,"183 Burt Boulevard 
Benton, LA 71006",Bossier,Early Learning Center II
Benton Preschool and Childcare II,"185 Burt Boulevard, Suite D 
Benton, LA 71006",Bossier,Early Learning Center II
Benton United Methodist Daycare,"4615 Palmetto Road 
Benton , LA 71006",Bossier,Early Learning Center I
Best Child Care,"15134 Old Hammond Highway 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center I
Best Child Care at Live Oak,"36013 La Highway 16 
Denham Springs, LA 70706",Livingston,Early Learning Center II
Bethany Cub Club,"11107 Honore Lane 
Baton Rouge, LA 70809",East Baton Rouge,Early Learning Center I
Bethany Lutheran Open Arms Child Development Center,"1300 8th Street 
Slidell, LA 70458",St. Tammany,Early Learning Center III
Bethel Christian School Childcare Center,"2922 Bethel Loop 
Ruston, LA 71270",Lincoln,Early Learning Center III
BGs Blessings Daycare,"105 Peter St. 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Bingaman Learning Center,"315 Nolan Duchane Drive 
Jeanerette, LA 70544",Iberia,Early Learning Center III
Bluebird Learning Center,"708 West Railroad Avenue 
Slaughter, LA 70777",East Feliciana,Early Learning Center II
Bogalusa Head Start and Early Head Start,"1202 Erie Avenue 
Bogalusa, LA 70427",Washington,Early Learning Center III
Booker Memorial Head Start Center,"250 New Bethel Booker Road 
Benton, LA 71006",Bossier,Early Learning Center III
Boothville-Venice High School Head Start,"1 Oiler Drive 
Boothville , LA 70038",Plaquemines,Early Learning Center III
Bossier City Nursery and Child Care Center,"1329 Airline Drive 
Bossier City, LA 71112",Bossier,Early Learning Center II
Bossier OCS Early Head Start,"4817 Shed Rd. 
Bossier city, LA 71111",Bossier,Early Learning Center III
Boutte Christian Academy,"13271 Highway 90 
Boutte, LA 70039",St. Charles,Early Learning Center III
"Boyer's Preschool and Child Care, Inc","1026 Gary Drive 
Breaux Bridge, LA 70517",St. Martin,Early Learning Center III
Brenda H. Hunter Head Start,"2200 Elder Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
Bright Beginnings,"1026 Stadium Drive 
Alexandria, LA 71303",Rapides,Early Learning Center III
Bright Beginnings,"102 Bienville St 
Natchitoches , LA 71457",Natchitoches,Early Learning Center III
"Bright Beginnings CDC, LLC","20000 Old Scenic Highway 
Zachary, LA 70791",East Baton Rouge,Early Learning Center III
Bright Beginnings Child Care Center,"1004 Center Street 
Ruston, LA 71270",Lincoln,Early Learning Center III
Bright Beginnings Child Development Center,"4428 David Drive 
Metairie , LA 70003",Jefferson,Early Learning Center III
Bright Beginnings Daycare,"1215 Dardeau Street 
Ville Platte, LA 70586",Evangeline,Early Learning Center III
Bright Beginnings Early Childhood Learning Center,"204 Mahlon Street 
DeRidder, LA 70634",Beauregard,Early Learning Center III
Bright Beginnings Learning Center,"1312 Charity Street 
Abbeville, LA 70510",Vermilion,Early Learning Center III
Bright Beginnings Learning Center,"3225 LaPlace Street 
Chalmette, LA 70043",St. Bernard,Early Learning Center III
Bright Future Academy,"243 Enterprise Drive, Suite B 
Houma, LA 70360",Terrebonne,Early Learning Center III
Bright Horizons at North Oaks,"15591 Emergency Services 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Bright Ideas Learning Center,"4706 Highway 1 
Raceland, LA 70394",Lafourche,Early Learning Center III
"Bright Minds Academy, LLC","6836 Bundy Road, Suite D 
New Orleans, LA 70127",Orleans,Early Learning Center II
Bright Star,"57955 Plaquemine Street,  Suite C 
Plaquemine, La 70764",Iberville,Early Learning Center III
Brighter Horizons Child Care Center,"107 Keating Drive 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center II
Brighter Minds,"1905 John Stine Road 
Westlake, LA 70669",Calcasieu,Early Learning Center II
"Brilliant Beginnings Child Development and Learning Center, Inc.","4338  Harding Boulevard 
Baton Rouge, LA 70807",East Baton Rouge,Early Learning Center III
"Brite Beginnings of Jennings, L.L.C.","623 1st. Street 
Jennings, LA 70546",Jefferson Davis,Early Learning Center III
Broadmoor Presbyterian Early Childhood Center,"9340 Florida Boulevard 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center I
Broadmoor United Methodist Church Early Learning Center,"204 Albany 
Shreveport, LA 71105",Caddo,Early Learning Center I
Broadmoor United Methodist Preschool (Children Learning Center),"10230 Mollylea Drive 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center I
Broadway's Daycare,"610 North Cedar Street 
Tallulah, LA 71282",Madison,Early Learning Center III
"Brown Bears Child Care Center, LLC","2146 South Burnside Avenue 
Gonzales, LA 70737",Ascension,Early Learning Center III
Brown E. Moore Head Start Center,"409 Janet Lane 
Shreveport, LA 71106",Caddo,Early Learning Center III
"Bucks & Bows Learning Center, LLC","387 Major Parkway 
New Roads, LA 70760",Pointe Coupee,Early Learning Center III
Building Blocks Early Learning Center,"911 Old Covington Highway 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Building Blocks Kid's Academy,"46061 Highway 10 
Franklinton, LA 70438",Washington,Early Learning Center III
Building Blocks Learning Center of Sulphur,"5255 Highway 27 South 
Sulphur, LA 70665",Calcasieu,Early Learning Center III
"Building Blocks of DeRidder, LLC","500 West 8th Street 
DeRidder, LA 70634",Beauregard,Early Learning Center III
Building Bridges Daycare,"1615 Gum Street 
Winnsboro, LA 71295",Franklin,Early Learning Center III
"Bumble Bee Daycare, Inc","322 Monarch Drive 
Houma, LA 70364",Terrebonne,Early Learning Center I
Busy Bees Academy of Learning,"3324 Youree Drive 
Shreveport, LA 71105",Caddo,Early Learning Center II
Busy Bees Learning Center,"3191 Plank Road 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
Busy Moms Daycare,"1629 Hickory Avenue 
Harahan, LA 70123",Jefferson,Early Learning Center II
"Butterflies and Beyond, Inc.","214 Rue Louis XIV Boulevard 
Lafayette, LA 70508",Lafayette,Early Learning Center III
C. E. Galloway Head Start,"335 E. Olive Street 
Shreveport, LA 71104",Caddo,Early Learning Center III
C. N. Burrell Sr. Christian Academy,"9185 Wilbur Street 
Baton Rouge, LA 70807",East Baton Rouge,Early Learning Center III
C.H.I.L.D.'S. Childcare 2,"101 Michelle Court 
Monroe, LA 71202",Ouachita,Early Learning Center III
Calvary Baptist Daycare,"9333 Linwood Ave. 
Shreveport, LA 71107",Caddo,Early Learning Center I
Calvary Preschool,"5011 Jackson Street 
Alexandria, LA 71303",Rapides,Early Learning Center I
Cameron Parish Head Start Cameron Community Sction Agency,"880 Main Street 
Hackberry, LA 70645",Cameron,Early Learning Center III
Camey's Preschool Academy,"613 Prosper Street 
Ville Platte, LA 70586",Evangeline,Early Learning Center I
Candyland Kinder Kollege,"6206 4th Avenue 
Marrero, LA 70072",Jefferson,Early Learning Center III
Candyland Kinder Kollege II,"6216 6th Avdenue 
Marrero, LA 70072",Jefferson,Early Learning Center III
CAPCA Migrant and Seasonal Head Start,"56210 Old US Hwy 51 
Amite, LA 70422",Tangipahoa,Early Learning Center III
Carbo's Learning Express,"6210 Franklin Ave 
New Orleans, LA 70122",Orleans,Early Learning Center III
Care A Lot Childcare Center,"800 North Arkansas Street 
Springhill, LA 71075",Webster,Early Learning Center III
Carlie Care Kids,"501 Richard Street 
Gretna, LA 70053",Jefferson,Early Learning Center III
Carolyn Green Ford Head Start,"2020 Jackson Avenue 
New Orleans, LA 70113",Orleans,Early Learning Center III
Carousel Preschool,"3720 W. Esplanade Avenue 
Metairie, LA 70002",Jefferson,Early Learning Center III
Carrolls Kiddie Ranch Learning Center,"2617 Sunnybrook Street 
Shreveport, LA 71108",Caddo,Early Learning Center III
Carrollton-Dunbar Head Start Center,"9301 Colapissa Street 
New Orleans, LA 70118",Orleans,Early Learning Center III
Casa de Amigos LLC  Preschool,"40180 Patty Jo Lane 
Prairieville, LA 70769",Ascension,Early Learning Center I
Casa Dei Bambini Early Learning Center,"4603 Old Highway 61 
St. Francisville, LA 70775",West Feliciana,Early Learning Center III
Castor High School,"140 Front Street 
Castor, LA 71016",Bienville,Early Learning Center III
Catahoula Parish Head Start,"180 Creek Bend Road 
Manifest, LA 71343",Catahoula,Early Learning Center III
Caterpillar Corner Learning Center,"1445 Airline Dr. 
Bossier City, LA 71112",Bossier,Early Learning Center III
"Cathy's Daycare Center, Inc","1601 E Admiral Doyle Dr 
New Iberia, LA 70560",Iberia,Early Learning Center III
Catina's Daycare Center LLC,"121 Cadillac Street 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Causeway Head Start Birth-5,"3420 N.Causeway Blvd Suite B 
Metairie, LA 70002",Jefferson,Early Learning Center III
CDI - Alexander Head Start Center,"3619 South Fieldspan Road 
Duson , LA 70529",Lafayette,Early Learning Center III
CDI - Breaux Bridge Early Head Start,"1201 Grand Pointe Hwy 
Breaux Bridge, LA 70517",St. Martin,Early Learning Center III
CDI - George Washington Carver HS,"109 Carver Street 
Breaux Bridge, LA 70517",St. Martin,Early Learning Center III
CDI - Huron Head Start/EHS Center,"1720 Coteau Rodaire Highway 
Arnaudville, LA 70512",St. Martin,Early Learning Center III
CDI - Jeanerette Head Start/EHS Center,"10917 Old Jeanerette Road 
Jeanerette , LA 70544",Iberia,Early Learning Center III
CDI - Lafayette Early Head Start,"1105 Bertrand Drive 
Lafayette, LA 70506",Lafayette,Early Learning Center III
CDI - Second Street Head Start/EHS,"3712 Second Street 
New Iberia , LA 70560",Iberia,Early Learning Center III
CDI - St. Christopher A Head Start,"2107 North University 
Lafayette, LA 70501",Lafayette,Early Learning Center III
CDI - St. Christopher B Head Start,"2111 North University Avenue 
Lafayette , LA 70501",Lafayette,Early Learning Center III
CDI - St. Joseph Head Start Center,"236 St. DePorres Street 
Broussard, LA 70518",Lafayette,Early Learning Center III
CDI - St. Martinville Early Head Start,"501 S. Martin Luther King 
Saint Martinville , LA 70582",St. Martin,Early Learning Center III
CDI - St. Martinville Head Start Center,"310 South Theater Street 
Saint Martinville , LA 70582",St. Martin,Early Learning Center III
CDI NEW IBERIA HEAD START/ EHS,"201 GILBERT ST 
NEW IBERIA, LA 70560",Iberia,Early Learning Center III
CDI Willow Street Head Start/EHS Center,"1501 E Willow St. 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Cedarwood School,"607 Heavens Drive 
Mandeville, LA 70471",St. Tammany,Early Learning Center II
Celebration Christian Daycare and Learning Center,"2001 Airline Drive 
Metairie, LA 70001",Jefferson,Early Learning Center I
Central Academy & Child Care,"9739 Joor Road 
Baton Rouge, LA 70818",East Baton Rouge,Early Learning Center III
Central Tangipahoa Head Start,"728 N. Railroad Ave. 
Independence, LA 70443",Tangipahoa,Early Learning Center III
Central's Little School,"11257 Lovett Rd. 
Baton  Rouge, LA 70818",East Baton Rouge,Early Learning Center II
Chan's Scholar Toddlers,"201 Mcknight Lane 
Amite, LA 70422",Tangipahoa,Early Learning Center III
Chandler's Daycare Inc.,"1916 Havard Street 
Winnsboro, LA 71295",Franklin,Early Learning Center III
Changing Stages,"11120 Hayne Boulevard 
New Orleans, LA 70128",Orleans,Early Learning Center III
Charity Christian Preschool,"871 O'Neal Ln 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center III
